Name;Path;Data Type;Logical Address;Comment;Hmi Visible;Hmi Accessible;Hmi Writeable;Typeobject ID;Version ID
iConv5_rob_perm;Default tag table;Bool;%I3.3;;True;True;True;;
iLineReady;Default tag table;Bool;%I3.0;;True;True;True;;
iConv1_vsdReady;Default tag table;Bool;%I4.1;;True;True;True;;
iConv2_vsdReady;Default tag table;Bool;%I4.2;;True;True;True;;
iConv3_vsdReady;Default tag table;Bool;%I4.3;;True;True;True;;
oConv1_M_Fwd;Default tag table;Bool;%Q0.1;;True;True;True;;
oConv2_M_Fwd;Default tag table;Bool;%Q0.2;;True;True;True;;
oConv3_M_Fwd;Default tag table;Bool;%Q0.3;;True;True;True;;
iConv3_TT_vsdReady;Default tag table;Bool;%I4.4;;True;True;True;;
oConv3_M_Rev;Default tag table;Bool;%Q0.4;;True;True;True;;
iConv3_prox_slow_0;Default tag table;Bool;%I2.1;;True;True;True;;
iConv3_prox_pos_90;Default tag table;Bool;%I2.4;;True;True;True;;
oConv3_TT_CW;Default tag table;Bool;%Q0.5;;True;True;True;;
oConv3_TT_ACW;Default tag table;Bool;%Q0.6;;True;True;True;;
oConv3_TT_Fast;Default tag table;Bool;%Q0.7;;True;True;True;;
iConv5_usrBtn;Default tag table;Bool;%M200.4;;True;True;True;;
iConv5_prdSens;Default tag table;Bool;%I0.6;;True;True;True;;
iConv5_vsdReady;Default tag table;Bool;%I4.6;;True;True;True;;
oConv5_M_Fwd;Default tag table;Bool;%Q1.1;;True;True;True;;
iConv6_prdSens;Default tag table;Bool;%I0.7;;True;True;True;;
iConv6_vsdReady;Default tag table;Bool;%I4.7;;True;True;True;;
oConv6_M_Fwd;Default tag table;Bool;%Q1.2;;True;True;True;;
iConv7_vsdReady;Default tag table;Bool;%I5.0;;True;True;True;;
iConv9_prdSens;Default tag table;Bool;%I1.2;;True;True;True;;
oConv9_M_Fwd;Default tag table;Bool;%Q1.5;;True;True;True;;
iConv9_vsdReady;Default tag table;Bool;%I5.2;;True;True;True;;
iConv10_vsdReady;Default tag table;Bool;%I5.3;;True;True;True;;
oConv10_M_Fwd;Default tag table;Bool;%Q1.6;;True;True;True;;
iConv11_prdSens;Default tag table;Bool;%I1.4;;True;True;True;;
iConv12_prdSens;Default tag table;Bool;%I1.5;;True;True;True;;
iConv11_vsdReady;Default tag table;Bool;%I5.4;;True;True;True;;
iConv12_vsdReady;Default tag table;Bool;%I5.5;;True;True;True;;
iConv13_vsdReady;Default tag table;Bool;%I5.6;;True;True;True;;
oConv11_M_Fwd;Default tag table;Bool;%Q1.7;;True;True;True;;
oConv12_M_Fwd;Default tag table;Bool;%Q2.0;;True;True;True;;
oConv13_M_Fwd;Default tag table;Bool;%Q2.1;;True;True;True;;
iConv14_prdSens;Default tag table;Bool;%I2.0;;True;True;True;;
iConv14_vsdReady;Default tag table;Bool;%I5.7;;True;True;True;;
oConv14_M_Fwd;Default tag table;Bool;%Q2.5;;True;True;True;;
iConv15_prdSens;Default tag table;Bool;%I13.0;;True;True;True;;
iConv16_prdSens;Default tag table;Bool;%I13.1;;True;True;True;;
oConv16_M_Fwd;Default tag table;Bool;%Q8.0;;True;True;True;;
iConv16_vsdReady;Default tag table;Bool;%I12.0;;True;True;True;;
emReset_remote;Default tag table;Bool;%Q16.0;;True;True;True;;
iConv7_prdSens;Default tag table;Bool;%I1.0;;True;True;True;;
oConv7_M_Fwd;Default tag table;Bool;%Q1.3;;True;True;True;;
iConv8_prdSens;Default tag table;Bool;%I1.1;;True;True;True;;
iConv10_prdSens;Default tag table;Bool;%I1.3;;True;True;True;;
iConv8_vsdReady;Default tag table;Bool;%I5.1;;True;True;True;;
oConv8_M_Fwd;Default tag table;Bool;%Q1.4;;True;True;True;;
iConv13_prdSens;Default tag table;Bool;%I1.6;;True;True;True;;
oConv15_M_Fwd;Default tag table;Bool;%Q2.7;;True;True;True;;
iConv15_vsdReady;Default tag table;Bool;%I6.1;;True;True;True;;
iConv18_prdSens;Default tag table;Bool;%I13.4;;True;True;True;;
iConv18_vsdReady;Default tag table;Bool;%I12.3;;True;True;True;;
oConv18_M_Fwd;Default tag table;Bool;%Q12.0;;True;True;True;;
iConv19_usrBtn1;Default tag table;Bool;%I17.0;;True;True;True;;
iConv19_usrBtn2;Default tag table;Bool;%I17.1;;True;True;True;;
iConv19_prdSens;Default tag table;Bool;%I13.5;;True;True;True;;
iConv19_vsdReady;Default tag table;Bool;%I12.4;;True;True;True;;
oConv19_M_Fwd;Default tag table;Bool;%Q12.1;;True;True;True;;
iConv20_prdSens;Default tag table;Bool;%I13.6;;True;True;True;;
iConv20_vsdReady;Default tag table;Bool;%I12.5;;True;True;True;;
oConv20_M_Fwd;Default tag table;Bool;%Q12.2;;True;True;True;;
iConv21_prdSens;Default tag table;Bool;%I13.7;;True;True;True;;
iConv21_vsdReady;Default tag table;Bool;%I16.0;;True;True;True;;
oConv21_M_Fwd;Default tag table;Bool;%Q12.3;;True;True;True;;
iDMC_in_perm_send;Default tag table;Bool;%M220.0;DMC intake permission to send (DMC to us);True;True;True;;
oDMC_in_req_send;Default tag table;Bool;%M220.1;DMC intake request to send (us to DMC);True;True;True;;
iDMC_out_req_send;Default tag table;Bool;%I9.4;DMC out request to send (DMC to us);True;True;True;;
oDMC_out_perm_send;Default tag table;Bool;%Q3.2;DMC out permission to send (us to DMC);True;True;True;;
iConv17_prdSens;Default tag table;Bool;%I13.2;;True;True;True;;
iConv17_prdSens2;Default tag table;Bool;%I13.3;;True;True;True;;
iLT_Receiving;Default tag table;Bool;%I8.1;;True;True;True;;
iConv17_prox_pos_0;Default tag table;Bool;%I14.6;;True;True;True;;
iConv17_prox_slow_0;Default tag table;Bool;%I14.7;;True;True;True;;
iConv17_prox_pos_90;Default tag table;Bool;%I15.1;;True;True;True;;
iConv17_prox_slow_90;Default tag table;Bool;%I15.0;;True;True;True;;
iConv22_prox_pos_0;Default tag table;Bool;%I15.2;;True;True;True;;
iConv22_prox_slow_0;Default tag table;Bool;%I15.3;;True;True;True;;
iConv22_prox_pos_90;Default tag table;Bool;%I15.4;;True;True;True;;
iConv22_prox_slow_90;Default tag table;Bool;%I15.5;;True;True;True;;
iConv22_prdSens;Default tag table;Bool;%I14.0;;True;True;True;;
iConv22_prdSens2;Default tag table;Bool;%I14.1;;True;True;True;;
oConv17_M_Fwd;Default tag table;Bool;%Q8.1;;True;True;True;;
oConv17_M_Rev;Default tag table;Bool;%Q8.2;;True;True;True;;
iConv17_vsdReady;Default tag table;Bool;%I12.1;;True;True;True;;
oConv17_TT_CW;Default tag table;Bool;%Q8.4;;True;True;True;;
oConv17_TT_ACW;Default tag table;Bool;%Q8.3;;True;True;True;;
oConv17_TT_Fast;Default tag table;Bool;%Q8.5;;True;True;True;;
oConv4_M_Fwd;Default tag table;Bool;%Q1.0;;True;True;True;;
iConv4_vsdReady;Default tag table;Bool;%I4.5;;True;True;True;;
iConv17_TT_vsdReady;Default tag table;Bool;%I12.2;;True;True;True;;
oConv22_M_Fwd;Default tag table;Bool;%Q12.4;;True;True;True;;
oConv22_M_Rev;Default tag table;Bool;%Q12.5;;True;True;True;;
iConv22_vsdReady;Default tag table;Bool;%I16.1;;True;True;True;;
oConv22_TT_CW;Default tag table;Bool;%Q12.7;;True;True;True;;
oConv22_TT_ACW;Default tag table;Bool;%Q12.6;;True;True;True;;
oConv22_TT_Fast;Default tag table;Bool;%Q13.0;;True;True;True;;
iConv22_TT_vsdReady;Default tag table;Bool;%I16.2;;True;True;True;;
iConv23_vsdReady;Default tag table;Bool;%I16.3;;True;True;True;;
oConv23_M_Fwd;Default tag table;Bool;%Q13.1;;True;True;True;;
iConv1_usrBtn2;Default tag table;Bool;%I3.4;;True;True;True;;
iConv23_prdSens;Default tag table;Bool;%I14.2;;True;True;True;;
iConv24_DHS;Default tag table;Bool;%I21.7;;True;True;True;;
iConv24_Dir;Default tag table;Bool;%I17.7;;True;True;True;;
iConv23_usrBtn;Default tag table;Bool;%I17.2;;True;True;True;;
iConv24_prox_pos_home;Default tag table;Bool;%I15.6;;True;True;True;;
iConv24_prox_pos_1;Default tag table;Bool;%I18.2;;True;True;True;;
iConv24_prox_pos_2;Default tag table;Bool;%I15.7;;True;True;True;;
iConv24_ObstrSens1;Default tag table;Bool;%I14.3;;True;True;True;;
iConv24_ObstrSens2;Default tag table;Bool;%I14.4;;True;True;True;;
iConv24_RO_vsdReady;Default tag table;Bool;%I16.4;;True;True;True;;
